Match Number,Round Number,Date,Location,Home Team,Away Team,Result
292,33,23/04/2023 16:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Sivasspor,
293,33,23/04/2023 16:00,Senol Günes Sports Complex,Trabzonspor,Ankaragücü,
294,33,23/04/2023 16:00,Nef Stadium,Galatasaray,Istanbul Basaksehir,
295,33,23/04/2023 16:00,New Hatay Stadium,Hatayspor,Istanbulspor,
296,33,23/04/2023 16:00,Çotanak Sports Complex,Giresunspor,Fenerbahçe,
297,33,23/04/2023 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Kayserispor,
298,34,30/04/2023 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Kasimpasa,
299,34,30/04/2023 16:00,Eryaman Stadium,Ankaragücü,Antalyaspor,
300,34,30/04/2023 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Ümraniyespor,
301,34,30/04/2023 16:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Galatasaray,
302,34,30/04/2023 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Trabzonspor,
303,34,30/04/2023 16:00,Vodafone Park,Besiktas,Gaziantep,
304,34,30/04/2023 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Adana Demirspor,
305,34,30/04/2023 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Konyaspor,
306,34,30/04/2023 16:00,Çotanak Sports Complex,Giresunspor,Hatayspor,
307,35,07/05/2023 16:00,Kadir Has Stadium,Kayserispor,Alanyaspor,
308,35,07/05/2023 16:00,Senol Günes Sports Complex,Trabzonspor,Fatih Karagümrük,
309,35,07/05/2023 16:00,New Adana Stadium,Adana Demirspor,Besiktas,
310,35,07/05/2023 16:00,Nef Stadium,Galatasaray,Sivasspor,
311,35,07/05/2023 16:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Ankaragücü,
312,35,07/05/2023 16:00,Antalya Stadium,Antalyaspor,Istanbul Basaksehir,
313,35,07/05/2023 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Istanbulspor,
314,35,07/05/2023 16:00,New Hatay Stadium,Hatayspor,Fenerbahçe,
315,35,07/05/2023 16:00,Gaziantep Stadium,Gaziantep,Giresunspor,
316,36,14/05/2023 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Konyaspor,
317,36,14/05/2023 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Antalyaspor,
318,36,14/05/2023 16:00,New Hatay Stadium,Hatayspor,Ümraniyespor,
319,36,14/05/2023 16:00,Eryaman Stadium,Ankaragücü,Galatasaray,
320,36,14/05/2023 16:00,Çotanak Sports Complex,Giresunspor,Trabzonspor,
321,36,14/05/2023 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Gaziantep,
322,36,14/05/2023 16:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Adana Demirspor,
323,36,14/05/2023 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Kasimpasa,
324,36,14/05/2023 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Kayserispor,
325,37,21/05/2023 16:00,Senol Günes Sports Complex,Trabzonspor,Alanyaspor,
