Match Number,Round Number,Date,Location,Home Team,Away Team,Result
131,14,08/11/2022 20:45,Giovanni Zini,Cremonese,Milan,
136,14,09/11/2022 18:30,Via del mare,Lecce,Atalanta,
138,14,09/11/2022 18:30,Città del Tricolore,Sassuolo,Roma,
132,14,09/11/2022 20:45,Artemio Franchi,Fiorentina,Salernitana,
134,14,09/11/2022 20:45,San Siro,Inter,Bologna,
140,14,09/11/2022 20:45,Olimpico Grande Torino,Torino,Sampdoria,
133,14,10/11/2022 20:45,Marcantonio Bentegodi,Hellas Verona,Juventus,
135,14,10/11/2022 20:45,Olimpico,Lazio,Monza,
143,15,11/11/2022 20:45,Carlo Castellani,Empoli,Cremonese,
148,15,12/11/2022 15:00,Diego Armando Maradona,Napoli,Udinese,
150,15,12/11/2022 18:00,Luigi Ferraris,Sampdoria,Lecce,
142,15,12/11/2022 20:45,Renato Dall'Ara,Bologna,Sassuolo,
141,15,13/11/2022 12:30,Atleti Azzurri d'Italia,Atalanta,Inter,
144,15,13/11/2022 15:00,Marcantonio Bentegodi,Hellas Verona,Spezia,
147,15,13/11/2022 15:00,Brianteo,Monza,Salernitana,
149,15,13/11/2022 15:00,Olimpico,Roma,Torino,
146,15,13/11/2022 20:00,San Siro,Milan,Fiorentina,
145,15,13/11/2022 20:45,Juventus Stadium,Juventus,Lazio,
156,16,04/01/2023 12:30,Arechi,Salernitana,Milan,
157,16,04/01/2023 12:30,Città del Tricolore,Sassuolo,Sampdoria,
158,16,04/01/2023 14:30,Alberto Picco,Spezia,Atalanta,
159,16,04/01/2023 14:30,Olimpico Grande Torino,Torino,Hellas Verona,
154,16,04/01/2023 16:30,Via del mare,Lecce,Lazio,
155,16,04/01/2023 16:30,Olimpico,Roma,Bologna,
151,16,04/01/2023 18:30,Giovanni Zini,Cremonese,Juventus,
152,16,04/01/2023 18:30,Artemio Franchi,Fiorentina,Monza,
153,16,04/01/2023 20:45,San Siro,Inter,Napoli,
160,16,04/01/2023 20:45,Friuli,Udinese,Empoli,
161,17,08/01/2023 15:00,Renato Dall'Ara,Bologna,Atalanta,
162,17,08/01/2023 15:00,Artemio Franchi,Fiorentina,Sassuolo,
163,17,08/01/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Cremonese,
164,17,08/01/2023 15:00,Juventus Stadium,Juventus,Udinese,
165,17,08/01/2023 15:00,Olimpico,Lazio,Empoli,
166,17,08/01/2023 15:00,San Siro,Milan,Roma,
167,17,08/01/2023 15:00,Brianteo,Monza,Inter,
168,17,08/01/2023 15:00,Arechi,Salernitana,Torino,
169,17,08/01/2023 15:00,Luigi Ferraris,Sampdoria,Napoli,
170,17,08/01/2023 15:00,Alberto Picco,Spezia,Lecce,
171,18,15/01/2023 15:00,Atleti Azzurri d'Italia,Atalanta,Salernitana,
172,18,15/01/2023 15:00,Giovanni Zini,Cremonese,Monza,
173,18,15/01/2023 15:00,Carlo Castellani,Empoli,Sampdoria,
174,18,15/01/2023 15:00,San Siro,Inter,Hellas Verona,
175,18,15/01/2023 15:00,Via del mare,Lecce,Milan,
176,18,15/01/2023 15:00,Diego Armando Maradona,Napoli,Juventus,
177,18,15/01/2023 15:00,Olimpico,Roma,Fiorentina,
178,18,15/01/2023 15:00,Città del Tricolore,Sassuolo,Lazio,
179,18,15/01/2023 15:00,Olimpico Grande Torino,Torino,Spezia,
180,18,15/01/2023 15:00,Friuli,Udinese,Bologna,
181,19,22/01/2023 15:00,Renato Dall'Ara,Bologna,Cremonese,
182,19,22/01/2023 15:00,Artemio Franchi,Fiorentina,Torino,
183,19,22/01/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Lecce,
184,19,22/01/2023 15:00,San Siro,Inter,Empoli,
185,19,22/01/2023 15:00,Juventus Stadium,Juventus,Atalanta,
186,19,22/01/2023 15:00,Olimpico,Lazio,Milan,
