Match Number,Round Number,Date,Location,Home Team,Away Team,Result
46,5,31/08/2022 19:00,Stade Louis II,AS Monaco,ESTAC Troyes,2 - 4
47,5,31/08/2022 19:00,Stade de la Mosson,Montpellier Hérault SC,AC Ajaccio,2 - 0
49,5,31/08/2022 19:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,1 - 1
42,5,31/08/2022 21:00,Stade Bollaert-Delelis,RC Lens,FC Lorient,5 - 2
43,5,31/08/2022 21:00,Stade Pierre-Mauroy,LOSC Lille,OGC Nice,1 - 2
45,5,31/08/2022 21:00,Stade Vélodrome,Olympique de Marseille,Clermont Foot 63,1 - 0
48,5,31/08/2022 21:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,3 - 1
50,5,31/08/2022 21:00,Stadium de Toulouse,Toulouse FC,Paris Saint-Germain,0 - 3
52,6,03/09/2022 17:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique de Marseille,0 - 2
55,6,03/09/2022 19:00,Parc Olympique Lyonnais,Olympique Lyonnais,Angers SCO,5 - 0
57,6,03/09/2022 21:00,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,0 - 3
56,6,04/09/2022 13:00,Stade de la Mosson,Montpellier Hérault SC,LOSC Lille,1 - 3
51,6,04/09/2022 15:00,Stade François Coty,AC Ajaccio,FC Lorient,0 - 1
53,6,04/09/2022 15:00,Stade Francis-Le Blé,Stade Brestois 29,RC Strasbourg Alsace,1 - 1
54,6,04/09/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,Toulouse FC,2 - 0
59,6,04/09/2022 15:00,Stade Auguste-Delaune,Stade de Reims,RC Lens,1 - 1
60,6,04/09/2022 17:05,Stade de l'Aube,ESTAC Troyes,Stade Rennais FC,1 - 1
58,6,04/09/2022 20:45,Stade de Nice,OGC Nice,AS Monaco,0 - 1
14,6,07/09/2022 19:00,Stade du Moustoir,FC Lorient,Olympique Lyonnais,3 - 1
63,7,09/09/2022 21:00,Stade Bollaert-Delelis,RC Lens,ESTAC Troyes,1 - 0
67,7,10/09/2022 17:00,Parc des Princes,Paris Saint-Germain,Stade Brestois 29,1 - 0
65,7,10/09/2022 21:00,Stade Vélodrome,Olympique de Marseille,LOSC Lille,2 - 1
69,7,11/09/2022 13:00,Stade de la Meinau,RC Strasbourg Alsace,Clermont Foot 63,0 - 0
61,7,11/09/2022 15:00,Stade François Coty,AC Ajaccio,OGC Nice,0 - 1
62,7,11/09/2022 15:00,Stade Raymond Kopa,Angers SCO,Montpellier Hérault SC,2 - 1
64,7,11/09/2022 15:00,Stade du Moustoir,FC Lorient,FC Nantes,3 - 2
70,7,11/09/2022 15:00,Stadium de Toulouse,Toulouse FC,Stade de Reims,1 - 0
68,7,11/09/2022 17:05,Roazhon Park,Stade Rennais FC,AJ Auxerre,5 - 0
66,7,11/09/2022 20:45,Stade Louis II,AS Monaco,Olympique Lyonnais,2 - 1
71,8,16/09/2022 21:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Lorient,1 - 3
77,8,17/09/2022 17:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,2 - 1
74,8,17/09/2022 21:00,Stade Pierre-Mauroy,LOSC Lille,Toulouse FC,2 - 1
